locus_tag	ftype	length_bp	gene	EC_number	COG	product
GMPPAGHP_00152	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
GMPPAGHP_00153	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
GMPPAGHP_00154	CDS	903	xerC		COG4973	Tyrosine recombinase XerC
GMPPAGHP_00155	CDS	708				hypothetical protein
GMPPAGHP_00156	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
GMPPAGHP_00157	CDS	204				hypothetical protein
GMPPAGHP_00158	CDS	252				hypothetical protein
GMPPAGHP_00159	CDS	93				hypothetical protein
GMPPAGHP_00160	CDS	390				hypothetical protein
GMPPAGHP_00161	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
GMPPAGHP_00162	CDS	363				hypothetical protein
GMPPAGHP_00163	CDS	516				hypothetical protein
GMPPAGHP_00164	CDS	354				hypothetical protein
GMPPAGHP_00165	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
GMPPAGHP_00166	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
GMPPAGHP_00167	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
GMPPAGHP_00168	CDS	1170	hemX		COG2959	Protein HemX
GMPPAGHP_00169	CDS	1200	hemY		COG3071	Protein HemY
GMPPAGHP_00170	tRNA	77				tRNA-Pro(tgg)
GMPPAGHP_00171	tRNA	87				tRNA-Leu(cag)
GMPPAGHP_00172	tRNA	76				tRNA-His(gtg)
GMPPAGHP_00173	tRNA	77				tRNA-Arg(ccg)
GMPPAGHP_00174	CDS	1386	yifK		COG1113	putative transport protein YifK
GMPPAGHP_00175	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
GMPPAGHP_00176	CDS	1359	wzyE			putative ECA polymerase
GMPPAGHP_00177	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
GMPPAGHP_00178	CDS	1251	wzxE		COG2244	Lipid III flippase
GMPPAGHP_00179	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
GMPPAGHP_00180	CDS	678	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
GMPPAGHP_00181	CDS	225				hypothetical protein
GMPPAGHP_00182	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
GMPPAGHP_00183	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
GMPPAGHP_00184	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
GMPPAGHP_00185	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
GMPPAGHP_00186	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
GMPPAGHP_00187	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
GMPPAGHP_00188	CDS	330	trxA		COG0526	Thioredoxin 1
GMPPAGHP_00189	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
GMPPAGHP_00190	CDS	1482	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
GMPPAGHP_00191	CDS	2025	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
GMPPAGHP_00192	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
GMPPAGHP_00193	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
GMPPAGHP_00194	CDS	888	gltC_1			HTH-type transcriptional regulator GltC
GMPPAGHP_00195	CDS	342				hypothetical protein
GMPPAGHP_00196	CDS	318				hypothetical protein
GMPPAGHP_00197	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
GMPPAGHP_00198	CDS	1851	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
GMPPAGHP_00199	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
GMPPAGHP_00200	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
GMPPAGHP_00201	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
GMPPAGHP_00202	CDS	1521	comM		COG0606	Competence protein ComM
GMPPAGHP_00203	CDS	339				hypothetical protein
GMPPAGHP_00204	CDS	837	hdfR_1			HTH-type transcriptional regulator HdfR
GMPPAGHP_00205	tRNA	76				tRNA-Trp(cca)
GMPPAGHP_00206	tRNA	77				tRNA-Asp(gtc)
GMPPAGHP_00207	rRNA	111				5S ribosomal RNA
GMPPAGHP_00208	CDS	291				hypothetical protein
GMPPAGHP_00209	CDS	651				hypothetical protein
GMPPAGHP_00210	CDS	1467				hypothetical protein
GMPPAGHP_00211	CDS	5844				hypothetical protein
GMPPAGHP_00212	CDS	5580				hypothetical protein
GMPPAGHP_00213	CDS	960				hypothetical protein
GMPPAGHP_00214	CDS	2193				hypothetical protein
GMPPAGHP_00215	CDS	222	yfgJ			putative protein YfgJ
GMPPAGHP_00216	CDS	1473	der		COG1160	GTPase Der
GMPPAGHP_00217	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
GMPPAGHP_00218	CDS	621				hypothetical protein
GMPPAGHP_00219	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
GMPPAGHP_00220	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
GMPPAGHP_00221	CDS	1005	rodZ		COG1426	Cytoskeleton protein RodZ
GMPPAGHP_00222	CDS	1167	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
GMPPAGHP_00223	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
GMPPAGHP_00224	CDS	864	napF_1			Ferredoxin-type protein NapF
GMPPAGHP_00225	CDS	810	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
GMPPAGHP_00226	CDS	630	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GMPPAGHP_00227	CDS	2379	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
GMPPAGHP_00228	CDS	2316	pbpC		COG4953	Penicillin-binding protein 1C
GMPPAGHP_00229	CDS	4935	yfhM		COG2373	Alpha-2-macroglobulin
GMPPAGHP_00230	CDS	843	sseA_1	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
GMPPAGHP_00231	CDS	225				hypothetical protein
GMPPAGHP_00232	CDS	669				hypothetical protein
GMPPAGHP_00233	CDS	777				hypothetical protein
GMPPAGHP_00234	CDS	180				hypothetical protein
GMPPAGHP_00235	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
GMPPAGHP_00236	CDS	201	iscX		COG2975	Protein IscX
GMPPAGHP_00237	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
GMPPAGHP_00238	CDS	1851	hscA		COG0443	Chaperone protein HscA
GMPPAGHP_00239	CDS	516	hscB		COG1076	Co-chaperone protein HscB
GMPPAGHP_00240	CDS	324	iscA		COG0316	Iron-binding protein IscA
GMPPAGHP_00241	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
GMPPAGHP_00242	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
GMPPAGHP_00243	CDS	495	iscR		COG1959	HTH-type transcriptional regulator IscR
GMPPAGHP_00244	CDS	732	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
GMPPAGHP_00245	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
GMPPAGHP_00246	CDS	879			COG1073	putative protein
GMPPAGHP_00247	CDS	1044	asrA		COG1145	Anaerobic sulfite reductase subunit A
GMPPAGHP_00248	CDS	819	asrB		COG0543	Anaerobic sulfite reductase subunit B
GMPPAGHP_00249	CDS	1014	asrC	1.8.1.-	COG2221	Anaerobic sulfite reductase subunit C
GMPPAGHP_00250	CDS	987				hypothetical protein
GMPPAGHP_00251	CDS	639				hypothetical protein
GMPPAGHP_00252	CDS	1278				hypothetical protein
GMPPAGHP_00253	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
GMPPAGHP_00254	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
GMPPAGHP_00255	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
GMPPAGHP_00256	CDS	1545	cadC		COG3710	Transcriptional activator CadC
GMPPAGHP_00257	CDS	1332	cadB		COG0531	putative cadaverine/lysine antiporter
GMPPAGHP_00258	CDS	2145	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
GMPPAGHP_00259	CDS	1461	dtpC		COG3104	Dipeptide and tripeptide permease C
GMPPAGHP_00260	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
GMPPAGHP_00261	CDS	1338	qseF		COG2204	Transcriptional regulatory protein QseF
GMPPAGHP_00262	CDS	765	qseG			Quorum-sensing regulator protein G
GMPPAGHP_00263	CDS	1386	qseE	2.7.13.3		Sensor histidine kinase QseE
GMPPAGHP_00264	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
GMPPAGHP_00265	CDS	1545	mltF_1	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
GMPPAGHP_00266	CDS	519	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
GMPPAGHP_00267	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
GMPPAGHP_00268	CDS	1362				PTS system EIIBC component
GMPPAGHP_00269	CDS	894	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
GMPPAGHP_00270	CDS	849	murR		COG1737	HTH-type transcriptional regulator MurR
GMPPAGHP_00271	CDS	918	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
GMPPAGHP_00272	CDS	1197				L-lactate transporter
GMPPAGHP_00273	CDS	927	hdfR_2			HTH-type transcriptional regulator HdfR
GMPPAGHP_00274	CDS	261	yfhL		COG1145	Ferredoxin YfhL
GMPPAGHP_00275	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
GMPPAGHP_00276	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
GMPPAGHP_00277	CDS	729	recO		COG1381	DNA repair protein RecO
GMPPAGHP_00278	CDS	906	era		COG1159	GTPase Era
GMPPAGHP_00279	CDS	738	rnc	3.1.26.3	COG0571	Ribonuclease 3
GMPPAGHP_00280	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
GMPPAGHP_00281	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
GMPPAGHP_00282	CDS	1470				hypothetical protein
GMPPAGHP_00283	CDS	474	sarA			Salmonella anti-inflammatory response activator
GMPPAGHP_00284	CDS	186				hypothetical protein
GMPPAGHP_00285	CDS	705	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
GMPPAGHP_00286	CDS	1428	hsrA			putative transport protein HsrA
GMPPAGHP_00287	CDS	990	rbsR		COG1609	Ribose operon repressor
GMPPAGHP_00288	CDS	930	rbsK_1	2.7.1.15	COG0524	Ribokinase
GMPPAGHP_00289	CDS	891	rbsB		COG1879	Ribose import binding protein RbsB
GMPPAGHP_00290	CDS	966	rbsC		COG1172	Ribose import permease protein RbsC
GMPPAGHP_00291	CDS	1506	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
GMPPAGHP_00292	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
GMPPAGHP_00293	CDS	1869	kup			Low affinity potassium transport system protein kup
GMPPAGHP_00294	CDS	1497	ravA	3.6.3.-	COG0714	ATPase RavA
GMPPAGHP_00295	CDS	1452	viaA		COG2425	Protein ViaA
GMPPAGHP_00296	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
GMPPAGHP_00297	CDS	459	asnC		COG1522	Regulatory protein AsnC
GMPPAGHP_00298	CDS	444	mioC		COG0716	Protein MioC
GMPPAGHP_00299	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
GMPPAGHP_00300	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
GMPPAGHP_00301	CDS	381	atpI		COG3312	ATP synthase protein I
GMPPAGHP_00302	CDS	816	atpB		COG0356	ATP synthase subunit a
GMPPAGHP_00303	CDS	240	atpE		COG0636	ATP synthase subunit c
GMPPAGHP_00304	CDS	471	atpF		COG0711	ATP synthase subunit b
GMPPAGHP_00305	CDS	534	atpH		COG0712	ATP synthase subunit delta
GMPPAGHP_00306	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
GMPPAGHP_00307	CDS	864	atpG		COG0224	ATP synthase gamma chain
GMPPAGHP_00308	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
GMPPAGHP_00309	CDS	420	atpC		COG0355	ATP synthase epsilon chain
GMPPAGHP_00310	CDS	699				hypothetical protein
GMPPAGHP_00311	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
GMPPAGHP_00312	CDS	1830	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
GMPPAGHP_00313	CDS	1791	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
GMPPAGHP_00314	CDS	819	sdhL	1.1.1.25	COG0169	Shikimate dehydrogenase-like protein
GMPPAGHP_00315	CDS	1374	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
GMPPAGHP_00316	CDS	102				hypothetical protein
GMPPAGHP_00317	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
GMPPAGHP_00318	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
GMPPAGHP_00319	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
GMPPAGHP_00320	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
GMPPAGHP_00321	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
GMPPAGHP_00322	CDS	648	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
GMPPAGHP_00323	CDS	1338	adeP		COG2252	Adenine permease AdeP
GMPPAGHP_00324	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
GMPPAGHP_00325	CDS	756				hypothetical protein
GMPPAGHP_00326	CDS	960	yidZ_1			HTH-type transcriptional regulator YidZ
GMPPAGHP_00327	CDS	1188	mdtL			Multidrug resistance protein MdtL
GMPPAGHP_00328	CDS	162				hypothetical protein
GMPPAGHP_00329	CDS	936				hypothetical protein
GMPPAGHP_00330	CDS	963				hypothetical protein
GMPPAGHP_00331	CDS	708	intA_1		COG0582	Prophage integrase IntA
GMPPAGHP_00332	CDS	495	intA_2		COG0582	Prophage integrase IntA
GMPPAGHP_00333	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
GMPPAGHP_00334	CDS	1647	yidC			Membrane protein insertase YidC
GMPPAGHP_00335	CDS	198				hypothetical protein
