locus_tag	ftype	length_bp	gene	EC_number	COG	product
FBJMCHFD_00047	CDS	744	cobB_1	2.3.1.286	COG0846	NAD-dependent protein deacetylase
FBJMCHFD_00048	CDS	849		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
FBJMCHFD_00049	CDS	852	dat_1	2.6.1.21		D-alanine aminotransferase
FBJMCHFD_00050	CDS	507	betI_1			HTH-type transcriptional regulator BetI
FBJMCHFD_00051	CDS	552				hypothetical protein
FBJMCHFD_00052	CDS	501	nhaX_1		COG0589	Stress response protein NhaX
FBJMCHFD_00053	CDS	105				hypothetical protein
FBJMCHFD_00054	CDS	1758	yheI_1	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
FBJMCHFD_00055	CDS	2022	yheH_1	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
FBJMCHFD_00056	CDS	621	asd_1	1.2.1.11		Aspartate-semialdehyde dehydrogenase
FBJMCHFD_00057	CDS	126				hypothetical protein
FBJMCHFD_00058	CDS	207				Small, acid-soluble spore protein 2
FBJMCHFD_00059	CDS	207				hypothetical protein
FBJMCHFD_00060	CDS	1401	yheD_1			Endospore coat-associated protein YheD
FBJMCHFD_00061	CDS	1092	yheD_2			Endospore coat-associated protein YheD
FBJMCHFD_00062	CDS	1134				hypothetical protein
FBJMCHFD_00063	CDS	351				hypothetical protein
FBJMCHFD_00064	CDS	1140	yhaZ_1		COG4335	putative protein YhaZ
FBJMCHFD_00065	CDS	867	yhaX_1		COG0561	Stress response protein YhaX
FBJMCHFD_00066	CDS	1503	hemZ_1	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
FBJMCHFD_00067	CDS	1290	iucD	1.14.13.59	COG3486	L-lysine N6-monooxygenase
FBJMCHFD_00068	CDS	1215	khtU_1		COG0475	K(+)/H(+) antiporter subunit KhtU
FBJMCHFD_00069	CDS	498	khtT_1		COG0490	K(+)/H(+) antiporter subunit KhtT
FBJMCHFD_00070	CDS	354				hypothetical protein
FBJMCHFD_00071	CDS	768	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
FBJMCHFD_00072	CDS	186				hypothetical protein
FBJMCHFD_00073	CDS	897	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FBJMCHFD_00074	CDS	1260	yhaP_1		COG1668	putative protein YhaP
FBJMCHFD_00075	CDS	1224	yhaO_1		COG0420	putative metallophosphoesterase YhaO
FBJMCHFD_00076	CDS	2883	yhaN_1		COG4717	putative protein YhaN
FBJMCHFD_00077	CDS	945	yhaM_1	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
FBJMCHFD_00078	CDS	228	yhaL_1			Sporulation protein YhaL
FBJMCHFD_00079	CDS	858	prsA_1	5.2.1.8	COG0760	Foldase protein PrsA
FBJMCHFD_00080	CDS	531				hypothetical protein
FBJMCHFD_00081	CDS	333	yhaI_1			putative protein YhaI
FBJMCHFD_00082	CDS	612	hpr_1		COG1846	HTH-type transcriptional regulator Hpr
FBJMCHFD_00083	CDS	357				hypothetical protein
FBJMCHFD_00084	CDS	180				hypothetical protein
FBJMCHFD_00085	CDS	519	trpP_1			putative tryptophan transport protein
FBJMCHFD_00086	CDS	1080	serC_1	2.6.1.52	COG1932	Phosphoserine aminotransferase
FBJMCHFD_00087	CDS	438	hit_1		COG0537	Protein hit
FBJMCHFD_00088	CDS	744	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
FBJMCHFD_00089	CDS	1227				hypothetical protein
FBJMCHFD_00090	CDS	705				hypothetical protein
FBJMCHFD_00091	CDS	1188		3.5.1.47		N-acetyldiaminopimelate deacetylase
FBJMCHFD_00092	CDS	1386				hypothetical protein
FBJMCHFD_00093	CDS	501	hmoB_1	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoB
FBJMCHFD_00094	CDS	2142	pbpF_1		COG0744	Penicillin-binding protein 1F
FBJMCHFD_00095	CDS	1113	hemE_1	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
FBJMCHFD_00096	CDS	936	hemH_1	4.99.1.1	COG0276	Ferrochelatase
FBJMCHFD_00097	CDS	1434	hemY_1	1.3.3.4	COG1232	Protoporphyrinogen oxidase
FBJMCHFD_00098	CDS	573	betI_2			HTH-type transcriptional regulator BetI
FBJMCHFD_00099	CDS	2334	smc_1			Chromosome partition protein Smc
FBJMCHFD_00100	CDS	978	fabHB_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2
FBJMCHFD_00101	CDS	219				hypothetical protein
FBJMCHFD_00102	CDS	1041	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
FBJMCHFD_00103	CDS	1290	gltT_1			Proton/sodium-glutamate symport protein
FBJMCHFD_00104	CDS	735			COG1234	putative protein
FBJMCHFD_00105	CDS	996	lplJ_1	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
FBJMCHFD_00106	CDS	645	yhfK_1	4.-.-.-	COG0702	putative sugar epimerase YhfK
FBJMCHFD_00107	CDS	1542	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
FBJMCHFD_00108	CDS	396				hypothetical protein
FBJMCHFD_00109	CDS	1251	htpX_1	3.4.24.-		Protease HtpX
FBJMCHFD_00110	CDS	1149	apr	3.4.21.62	COG1404	Subtilisin BPN'
FBJMCHFD_00111	CDS	879	yhfQ_1		COG4594	Putative ABC transporter substrate-binding lipoprotein YhfQ
FBJMCHFD_00112	CDS	576	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
FBJMCHFD_00113	CDS	1092	yhfS_1	2.3.1.-	COG0183	Putative acetyl-CoA C-acetyltransferase YhfS
FBJMCHFD_00114	CDS	1437	yhfT_1	6.2.1.-	COG0318	putative acyl--CoA ligase YhfT
FBJMCHFD_00115	CDS	558	bioY_1		COG1268	putative biotin transporter BioY
FBJMCHFD_00116	CDS	1293	hemAT_1		COG0840	Heme-based aerotactic transducer HemAT
FBJMCHFD_00117	CDS	1524	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
FBJMCHFD_00118	CDS	858	ydaD_2	1.-.-.-		General stress protein 39
FBJMCHFD_00119	CDS	234				hypothetical protein
FBJMCHFD_00120	CDS	579	comK_1		COG4903	Competence transcription factor
FBJMCHFD_00121	CDS	369	fra_1		COG5646	Intracellular iron chaperone frataxin
FBJMCHFD_00122	CDS	372	fra_2		COG5646	Intracellular iron chaperone frataxin
FBJMCHFD_00123	CDS	708	yncM_1			putative protein YncM
FBJMCHFD_00124	CDS	270				hypothetical protein
FBJMCHFD_00125	CDS	318				hypothetical protein
FBJMCHFD_00126	CDS	1470	yodF_1		COG0591	putative symporter YodF
FBJMCHFD_00127	CDS	201				hypothetical protein
FBJMCHFD_00128	CDS	360				hypothetical protein
FBJMCHFD_00129	CDS	627				hypothetical protein
FBJMCHFD_00130	CDS	516	sipV_1	3.4.21.89	COG0681	Signal peptidase I V
FBJMCHFD_00131	CDS	1482	oxyS_1	1.14.13.234		12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase
FBJMCHFD_00132	CDS	522	pchR_1			HTH-type transcriptional regulator PchR
FBJMCHFD_00133	CDS	1158				hypothetical protein
FBJMCHFD_00134	CDS	1197	tetA_1			Tetracycline resistance protein, class B
FBJMCHFD_00135	CDS	621	qacR			HTH-type transcriptional regulator QacR
FBJMCHFD_00136	CDS	510				hypothetical protein
FBJMCHFD_00137	CDS	711				hypothetical protein
FBJMCHFD_00138	CDS	3501	addB_1	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
FBJMCHFD_00139	CDS	3705	addA_1	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
FBJMCHFD_00140	CDS	1173	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
FBJMCHFD_00141	CDS	3393	smc_2			Chromosome partition protein Smc
FBJMCHFD_00142	CDS	294				hypothetical protein
FBJMCHFD_00143	CDS	219	gerPF_1			putative spore germination protein GerPF
FBJMCHFD_00144	CDS	396	gerPE_1			putative spore germination protein GerPE
FBJMCHFD_00145	CDS	177	gerPD_1			putative spore germination protein GerPD
FBJMCHFD_00146	CDS	618	gerPC_1			putative spore germination protein GerPC
FBJMCHFD_00147	CDS	237	gerPB_1			putative spore germination protein GerPB
FBJMCHFD_00148	CDS	222	gerPA_1			putative spore germination protein GerPA
FBJMCHFD_00149	CDS	216				hypothetical protein
FBJMCHFD_00150	CDS	906	yisK_1		COG0179	putative protein YisK
FBJMCHFD_00151	CDS	357				hypothetical protein
FBJMCHFD_00152	CDS	543				hypothetical protein
FBJMCHFD_00153	CDS	1842	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
FBJMCHFD_00154	CDS	741	yisP_1	2.5.1.-	COG1562	Putative phytoene/squalene synthase YisP
FBJMCHFD_00155	CDS	1398	yeeO_1		COG0534	putative FMN/FAD exporter YeeO
FBJMCHFD_00156	CDS	864	araC_1			Arabinose operon regulatory protein
FBJMCHFD_00157	CDS	273	iolX_1	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
FBJMCHFD_00158	CDS	495				hypothetical protein
FBJMCHFD_00159	CDS	609	argO_1		COG1279	Arginine exporter protein ArgO
FBJMCHFD_00160	CDS	1443	norG_1		COG1167	HTH-type transcriptional regulator NorG
FBJMCHFD_00161	CDS	627				hypothetical protein
FBJMCHFD_00162	CDS	441		2.3.1.-		Acetyltransferase
FBJMCHFD_00163	CDS	1842	yitJ_1		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
FBJMCHFD_00164	CDS	492				hypothetical protein
FBJMCHFD_00165	CDS	849	cvfB_1			Conserved virulence factor B
FBJMCHFD_00166	CDS	978	tmpC_1		COG1744	Membrane lipoprotein TmpC
FBJMCHFD_00167	CDS	1650	smc_3			Chromosome partition protein Smc
FBJMCHFD_00168	CDS	1251	cypC_1	1.11.2.4	COG2124	Fatty-acid peroxygenase
FBJMCHFD_00169	CDS	123				hypothetical protein
FBJMCHFD_00170	CDS	852			COG1307	Fatty acid-binding protein
FBJMCHFD_00171	CDS	843				hypothetical protein
FBJMCHFD_00172	CDS	462				hypothetical protein
FBJMCHFD_00173	CDS	198				hypothetical protein
FBJMCHFD_00174	CDS	150				hypothetical protein
FBJMCHFD_00175	CDS	813	yitU_1	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
FBJMCHFD_00176	CDS	768				hypothetical protein
FBJMCHFD_00177	CDS	309	sufT_1			Fe-S protein maturation auxiliary factor SufT
FBJMCHFD_00178	CDS	444	fosB_1	2.5.1.-	COG0346	Metallothiol transferase FosB
FBJMCHFD_00179	CDS	1437	dprE1_1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
FBJMCHFD_00180	CDS	543	mdtG_1			Multidrug resistance protein MdtG
FBJMCHFD_00181	CDS	1038	argC_1	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
FBJMCHFD_00182	CDS	1218	argJ_1			Arginine biosynthesis bifunctional protein ArgJ
FBJMCHFD_00183	CDS	777	argB_1	2.7.2.8	COG0548	Acetylglutamate kinase
FBJMCHFD_00184	CDS	1158	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
FBJMCHFD_00185	CDS	1059	carA_1	6.3.5.5		Carbamoyl-phosphate synthase arginine-specific small chain
FBJMCHFD_00186	CDS	3096	carB_1	6.3.5.5		Carbamoyl-phosphate synthase arginine-specific large chain
FBJMCHFD_00187	CDS	972	argF_1	2.1.3.3	COG0078	Ornithine carbamoyltransferase
FBJMCHFD_00188	CDS	180				hypothetical protein
FBJMCHFD_00189	CDS	186				hypothetical protein
FBJMCHFD_00190	CDS	735				hypothetical protein
FBJMCHFD_00191	CDS	567				hypothetical protein
FBJMCHFD_00192	CDS	861				Purine-binding protein
FBJMCHFD_00193	CDS	192				hypothetical protein
FBJMCHFD_00194	CDS	219				hypothetical protein
FBJMCHFD_00195	CDS	939	fabHA_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1
FBJMCHFD_00196	CDS	1239	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
FBJMCHFD_00197	CDS	786				hypothetical protein
FBJMCHFD_00198	CDS	987	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
FBJMCHFD_00199	CDS	990	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
FBJMCHFD_00200	CDS	813	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
FBJMCHFD_00201	CDS	942	deoR_1		COG2390	Deoxyribonucleoside regulator
FBJMCHFD_00202	CDS	669	deoC_1	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
FBJMCHFD_00203	CDS	1182	nupC_1		COG1972	Nucleoside permease NupC
FBJMCHFD_00204	CDS	1302	pdp_1	2.4.2.2	COG0213	Pyrimidine-nucleoside phosphorylase
FBJMCHFD_00205	CDS	1419	rocE_1		COG0833	Amino-acid permease RocE
FBJMCHFD_00206	CDS	951	hutG	3.5.3.8	COG0010	Formimidoylglutamase
FBJMCHFD_00207	CDS	1266	hutI	3.5.2.7	COG1228	Imidazolonepropionase
FBJMCHFD_00208	CDS	1665	hutU_1	4.2.1.49	COG2987	Urocanate hydratase
FBJMCHFD_00209	CDS	1542	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
FBJMCHFD_00210	CDS	447	hutP			Hut operon positive regulatory protein
FBJMCHFD_00211	CDS	1407	abn2_1	3.2.1.99	COG3507	Extracellular endo-alpha-(1->5)-L-arabinanase 2
FBJMCHFD_00212	CDS	444				hypothetical protein
FBJMCHFD_00213	CDS	1623				hypothetical protein
FBJMCHFD_00214	CDS	1107	haeIIIM	2.1.1.37		Modification methylase HaeIII
FBJMCHFD_00215	CDS	411	vsr	3.1.-.-	COG3727	Very short patch repair protein
FBJMCHFD_00216	CDS	417				hypothetical protein
FBJMCHFD_00217	CDS	630				hypothetical protein
FBJMCHFD_00218	CDS	624				hypothetical protein
FBJMCHFD_00219	CDS	177				hypothetical protein
FBJMCHFD_00220	CDS	339				hypothetical protein
FBJMCHFD_00221	CDS	180				hypothetical protein
FBJMCHFD_00222	CDS	147				hypothetical protein
FBJMCHFD_00223	CDS	447	teaD_1		COG0589	TRAP-T-associated universal stress protein TeaD
FBJMCHFD_00224	CDS	912				hypothetical protein
FBJMCHFD_00225	CDS	1065	pelB	4.2.2.10	COG3866	Pectin lyase
FBJMCHFD_00226	CDS	1440	dbpA_1	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
FBJMCHFD_00227	CDS	1248				hypothetical protein
FBJMCHFD_00228	CDS	732	bglS_1	3.2.1.73	COG2273	Beta-glucanase
FBJMCHFD_00229	CDS	1281	citN_1		COG2851	Citrate transporter
FBJMCHFD_00230	CDS	2052	katE_1	1.11.1.6	COG0753	Catalase HPII
FBJMCHFD_00231	CDS	309				hypothetical protein
FBJMCHFD_00232	CDS	675				hypothetical protein
FBJMCHFD_00233	CDS	1311	nupG_1		COG1972	Purine nucleoside transport protein NupG
FBJMCHFD_00234	CDS	729	rlmA_1	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
FBJMCHFD_00235	CDS	1137	metE_1	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
FBJMCHFD_00236	CDS	477				hypothetical protein
FBJMCHFD_00237	CDS	168				hypothetical protein
FBJMCHFD_00238	CDS	117				hypothetical protein
FBJMCHFD_00239	CDS	1233	pepT_1	3.4.11.4	COG2195	Peptidase T
FBJMCHFD_00240	CDS	1017	lnpD_1	5.1.3.2		UDP-glucose 4-epimerase
FBJMCHFD_00241	CDS	639	yxkC			putative protein YxkC
FBJMCHFD_00242	CDS	837				hypothetical protein
FBJMCHFD_00243	CDS	894	lrp_1			Leucine-rich protein
FBJMCHFD_00244	CDS	1101	msmX_1	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
FBJMCHFD_00245	CDS	843				hypothetical protein
FBJMCHFD_00246	CDS	1344	cimH_1		COG3493	Citrate/malate transporter
FBJMCHFD_00247	CDS	1407	cydA_1	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
FBJMCHFD_00248	CDS	1017	cydB_1	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
FBJMCHFD_00249	CDS	1704	cydD_1		COG4988	ATP-binding/permease protein CydD
FBJMCHFD_00250	CDS	1731			COG1132	putative ABC transporter ATP-binding/permease protein
FBJMCHFD_00251	CDS	831	nnrD_1	4.2.1.136	COG0063	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
FBJMCHFD_00252	CDS	687				hypothetical protein
FBJMCHFD_00253	CDS	897	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FBJMCHFD_00254	CDS	210				hypothetical protein
FBJMCHFD_00255	CDS	717	natR_1		COG3279	Transcriptional regulatory protein NatR
FBJMCHFD_00256	CDS	129				hypothetical protein
FBJMCHFD_00257	CDS	1557				hypothetical protein
FBJMCHFD_00258	CDS	732	bcrA_1			Bacitracin transport ATP-binding protein BcrA
FBJMCHFD_00259	CDS	231				hypothetical protein
FBJMCHFD_00260	CDS	1398	pucI_1		COG1953	putative allantoin permease
FBJMCHFD_00261	CDS	987	yxeI_1		COG3049	putative protein YxeI
FBJMCHFD_00262	CDS	1614	katA_1	1.11.1.6	COG0753	Catalase
FBJMCHFD_00263	CDS	1083	gmuG_1	3.2.1.78	COG4124	Mannan endo-1,4-beta-mannosidase
FBJMCHFD_00264	CDS	945	gmuF_1	5.3.1.8	COG1482	putative mannose-6-phosphate isomerase GmuF
FBJMCHFD_00265	CDS	189	gmuE_1	2.7.1.4	COG1940	Putative fructokinase
FBJMCHFD_00266	CDS	696	gmuE_2	2.7.1.4	COG1940	Putative fructokinase
FBJMCHFD_00267	CDS	1401	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
FBJMCHFD_00268	CDS	1320	gmuC_1		COG1455	PTS system oligo-beta-mannoside-specific EIIC component
FBJMCHFD_00269	CDS	318	gmuA_1		COG1447	PTS system oligo-beta-mannoside-specific EIIA component
FBJMCHFD_00270	CDS	312	gmuB_1	2.7.1.205	COG1440	PTS system oligo-beta-mannoside-specific EIIB component
FBJMCHFD_00271	CDS	1299	arsB_1		COG1055	Arsenical pump membrane protein
FBJMCHFD_00272	CDS	351	aseR_1		COG0640	HTH-type transcriptional repressor AseR
FBJMCHFD_00273	CDS	897	yfiY_1		COG0614	putative siderophore-binding lipoprotein YfiY
FBJMCHFD_00274	CDS	1014	feuC_1		COG0609	Iron-uptake system permease protein FeuC
FBJMCHFD_00275	CDS	1029	feuB_1		COG0609	Iron-uptake system permease protein FeuB
FBJMCHFD_00276	CDS	591		3.2.2.-		Putative 3-methyladenine DNA glycosylase
FBJMCHFD_00277	CDS	1956	licR_1		COG1762	putative licABCH operon regulator
FBJMCHFD_00278	CDS	309	licB_1	2.7.1.-	COG1440	Lichenan-specific phosphotransferase enzyme IIB component
FBJMCHFD_00279	CDS	1359	licC_1		COG1455	Lichenan permease IIC component
FBJMCHFD_00280	CDS	333	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
FBJMCHFD_00281	CDS	1329	licH_1	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
FBJMCHFD_00282	CDS	1089	ilvK_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase 2
FBJMCHFD_00283	CDS	1179	dltD_1		COG3966	Protein DltD
FBJMCHFD_00284	CDS	237	dltC_1		COG0236	D-alanyl carrier protein
FBJMCHFD_00285	CDS	1182				hypothetical protein
FBJMCHFD_00286	CDS	1512	dltA_1	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
FBJMCHFD_00287	CDS	150				hypothetical protein
FBJMCHFD_00288	CDS	936	menA_1	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
FBJMCHFD_00289	CDS	633	ywaC_1	2.7.6.5	COG2357	GTP pyrophosphokinase YwaC
FBJMCHFD_00290	CDS	861	gspA_1		COG1442	General stress protein A
FBJMCHFD_00291	CDS	1746	epr_1	3.4.21.-	COG1404	Minor extracellular protease Epr
FBJMCHFD_00292	CDS	1335	licC_2		COG1455	Lichenan permease IIC component
FBJMCHFD_00293	CDS	384	gloA_1	4.4.1.5	COG0346	Lactoylglutathione lyase
FBJMCHFD_00294	CDS	1188	rlmI_1	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
FBJMCHFD_00295	CDS	900				hypothetical protein
FBJMCHFD_00296	CDS	762	mta_1		COG0789	HTH-type transcriptional activator mta
FBJMCHFD_00297	CDS	195				hypothetical protein
FBJMCHFD_00298	CDS	681	yohK_1		COG1346	Inner membrane protein YohK
FBJMCHFD_00299	CDS	387				hypothetical protein
FBJMCHFD_00300	CDS	909	cynR_1			HTH-type transcriptional regulator CynR
FBJMCHFD_00301	CDS	819	thiM_1	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
FBJMCHFD_00302	CDS	675	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
FBJMCHFD_00303	CDS	1257	efeN_1	1.11.1.-	COG2837	putative deferrochelatase/peroxidase EfeN
FBJMCHFD_00304	CDS	603				hypothetical protein
FBJMCHFD_00305	CDS	675				hypothetical protein
FBJMCHFD_00306	CDS	681	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
FBJMCHFD_00307	CDS	162	slrA_1			Transcriptional regulator SlrA
FBJMCHFD_00308	CDS	624				hypothetical protein
FBJMCHFD_00309	CDS	408				hypothetical protein
FBJMCHFD_00310	CDS	1185	galK_1	2.7.1.6	COG0153	Galactokinase
FBJMCHFD_00311	CDS	1542	galT_1	2.7.7.12		Galactose-1-phosphate uridylyltransferase
FBJMCHFD_00312	CDS	246				hypothetical protein
FBJMCHFD_00313	CDS	966	qoxA_1	1.10.3.-		Quinol oxidase subunit 2
FBJMCHFD_00314	CDS	1950	qoxB_1	1.10.3.-		Quinol oxidase subunit 1
FBJMCHFD_00315	CDS	615	qoxC_1	1.10.3.-		Quinol oxidase subunit 3
FBJMCHFD_00316	CDS	369	qoxD_1	1.10.3.-		Quinol oxidase subunit 4
FBJMCHFD_00317	CDS	261	ywcE_1			Spore morphogenesis and germination protein YwcE
FBJMCHFD_00318	CDS	522	ysnE_1	2.3.1.-		putative N-acetyltransferase YsnE
FBJMCHFD_00319	CDS	1188	rodA_1	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
FBJMCHFD_00320	CDS	750	nfrA1_1	1.5.1.38	COG0778	FMN reductase (NADPH)
FBJMCHFD_00321	CDS	1002				hypothetical protein
FBJMCHFD_00322	CDS	2412	vpr_1	3.4.21.-	COG1404	Minor extracellular protease vpr
FBJMCHFD_00323	CDS	315				hypothetical protein
FBJMCHFD_00324	CDS	831	sacY_1		COG3711	Levansucrase and sucrase synthesis operon antiterminator
FBJMCHFD_00325	CDS	1383	sacX_1		COG1263	Negative regulator of SacY activity
FBJMCHFD_00326	CDS	1440	scrB_1	3.2.1.26	COG1621	Sucrose-6-phosphate hydrolase
FBJMCHFD_00327	CDS	240				hypothetical protein
FBJMCHFD_00328	CDS	813	pdxK_1	2.7.1.35	COG0351	Pyridoxine kinase
FBJMCHFD_00329	CDS	339				hypothetical protein
FBJMCHFD_00330	CDS	270				hypothetical protein
FBJMCHFD_00331	CDS	366				hypothetical protein
